source_id,source_text,target_id,target_text,type,description
inspecteur des impôts,"l'inspecteur est assisté, par une commission communale",commission communale,une commission communale,assistance,L'inspecteur des impôts est assisté par une commission communale.
commission communale,comprenent un représentant du gouverneur de la province et un représentant du président de la chambre d'agriculture,gouverneur de la province,un représentant du gouverneur de la province,composition,La commission communale comprend un représentant du gouverneur de la province.
commission communale,comprenent un représentant du gouverneur de la province et un représentant du président de la chambre d'agriculture,président de la chambre d'agriculture,un représentant du président de la chambre d'agriculture,composition,La commission communale comprend un représentant du président de la chambre d'agriculture.
contribuable,"Un récépissé de déclaration, comportant le numéro d'identification fiscale attribué à l'exploitation",numéro d'identification fiscale,numéro d'identification fiscale attribué à l'exploitation,attribut,Le contribuable reçoit un récépissé de déclaration avec un numéro d'identification fiscale.
contribuable,Lorsque le contribuable ne se présente pas devant la commission,commission,la commission,condition,La consistance des biens est déterminée par la commission si le contribuable ne se présente pas.
contribuable,ne peut contester les éléments retenus que dans les conditions prévues à l'article 235 ci-dessous,article 235,article 235 ci-dessous,restriction,Le contribuable peut contester les éléments retenus selon les conditions de l'article 235.
impot_revenu,impôt sur le revenu,revenus_salariaux,revenus salariaux,applicable sur,L'impôt sur le revenu est applicable sur les revenus salariaux.
revenus_salariaux,revenus salariaux,traitements,les traitements,composé de,Les revenus salariaux sont composés de traitements.
revenus_salariaux,revenus salariaux,indemnites_emoluments,les indemnités et émoluments,composé de,Les revenus salariaux sont composés d'indemnités et émoluments.
revenus_salariaux,revenus salariaux,salaires,les salaires,composé de,Les revenus salariaux sont composés de salaires.
revenus_salariaux,revenus salariaux,allocations_speciales,les allocations spéciales,composé de,Les revenus salariaux sont composés d'allocations spéciales.
revenus_salariaux,revenus salariaux,pensions,les pensions,composé de,Les revenus salariaux sont composés de pensions.
revenus_salariaux,revenus salariaux,rentes_viageres,les rentes viagères,composé de,Les revenus salariaux sont composés de rentes viagères.
revenus_salariaux,revenus salariaux,avantages_en_nature,les avantages en argent ou en nature,composé de,Les revenus salariaux sont composés d'avantages en argent ou en nature.
indemnités,les indemnités destinées à couvrir des frais engagés dans l'exercice de la fonction ou de l'emploi,exonération,Sont exonérés de l'impôt,applicable sur,Les indemnités sont exonérées de l'impôt sous certaines conditions.
revenus salariaux,les titulaires de revenus salariaux bénéficiant de la déduction des frais inhérents à la fonction ou à l'emploi,exonération,cette exonération n'est pas applicable,non applicable,Les revenus salariaux ne peuvent bénéficier de l'exonération si des frais sont déduits.
allocations familiales,les allocations familiales et d'assistance à la famille,exonération,Sont exonérés de l'impôt,applicable sur,Les allocations familiales sont exonérées de l'impôt.
pensions d'invalidité,les pensions d'invalidité servies aux personnes concernées et à leurs ayants cause,exonération,Sont exonérés de l'impôt,applicable sur,Les pensions d'invalidité sont exonérées de l'impôt.
indemnités journalières,"les indemnités journalières de maladie, d'accident et de maternité",exonération,Sont exonérés de l'impôt,applicable sur,Les indemnités journalières sont exonérées de l'impôt.
indemnité de licenciement,l’indemnité de licenciement,exonération,dans la limite d’un million (1000000) dirhams,limité par,L'indemnité de licenciement est exonérée jusqu'à un million de dirhams.
pensions alimentaires,les pensions alimentaires,exonération,Sont exonérés de l'impôt,applicable sur,Les pensions alimentaires sont exonérées de l'impôt.
retraites complémentaires,les retraites complémentaires souscrites parallèlement aux régimes visés à l'article 59-II-A,exonération,Sont exonérés de l'impôt,applicable sur,Les retraites complémentaires sont exonérées sous certaines conditions.
part patronale,la part patronale des cotisations de retraite et de sécurité sociale,exonération,Sont exonérés de l'impôt,applicable sur,La part patronale des cotisations est exonérée de l'impôt.
bons alimentaires,le montant des bons représentatifs des frais de nourriture,exonération,Sont exonérés de l'impôt,applicable sur,Les bons alimentaires sont exonérés dans certaines limites.
abondement,l’abondement supporté par la société employeuse,exonération,Sont exonérés de l'impôt,applicable sur,L'abondement est exonéré sous certaines conditions.
salaire mensuel brut,le salaire mensuel brut plafonné à dix mille (10.000) dirhams,exonération,bénéficie également de l’exonération de l’impôt sur le revenu,applicable sur,Le salaire mensuel brut est exonéré sous certaines conditions.
bourses d'études,les bourses d'études,exonération,Sont exonérés de l'impôt,applicable sur,Les bourses d'études sont exonérées de l'impôt.
prix littéraires,les prix littéraires et artistiques dont le montant ne dépasse pas annuellement cent mille (100 000) dirhams,exonération,Sont exonérés de l'impôt,applicable sur,Les prix littéraires sont exonérés jusqu'à un certain montant.
capital décès,le capital décès versé aux ayants droit des fonctionnaires,exonération,Sont exonérés de l'impôt,applicable sur,Le capital décès est exonéré de l'impôt.
solde militaire,la solde et les indemnités versées aux appelés au service militaire,exonération,Sont exonérés de l'impôt,applicable sur,Les soldes militaires sont exonérées de l'impôt.
pourboires,les pourboires remis directement à leurs bénéficiaires,exonération,Sont exonérés de l'impôt,applicable sur,Les pourboires sont exonérés de l'impôt.
revenus salariaux,"les revenus salariaux et assimilés, prévus à l'article 56",exonération,Sont exonérés de l'impôt,applicable sur,Les revenus salariaux sont exonérés sous certaines conditions.
pensions de retraite,les pensions de retraite et les rentes viagères versées dans le cadre des régimes de retraite de base,exonération,Sont exonérés de l'impôt,applicable sur,Les pensions de retraite de base sont exonérées de l'impôt.
entite_1,revenu net imposable,entite_2,somme brute payée au titre des revenus et avantages,calculé à partir de,Le montant du revenu net imposable est obtenu en déduisant des sommes brutes.
entite_2,somme brute payée au titre des revenus et avantages,entite_3,éléments exonérés,déduit par,Les éléments exonérés en vertu de l’article 57 sont déduits.
entite_2,somme brute payée au titre des revenus et avantages,entite_4,éléments visés à l’article 59,déduit par,Les éléments visés à l’article 59 sont également déduits.
entite_5,pourboires,entite_6,impôt dû,retenu à la source,L’impôt dû au titre des pourboires est retenu à la source.
entite_7,"voyageurs, représentants et placiers de commerce",entite_6,impôt dû,soumis à,Ces entités sont soumises à l'impôt par voie de retenue à la source.
entite_8,rémunérations et indemnités,entite_6,impôt dû,passibles de,Les rémunérations et indemnités sont passibles de la retenue à la source.
entite_9,prestations de retraite complémentaire,entite_6,impôt sur le revenu,imposables à,Les prestations de retraite complémentaire sont imposables à l’impôt sur le revenu.
entite_10,capital perçu,entite_11,cotisations ou primes versées,base imposable,La base imposable est égale à la différence entre le capital perçu et les cotisations versées.
entite_12,rente certaine,entite_11,cotisations versées,base imposable,La base imposable de la rente certaine est égale à la différence entre la rente et la quote-part des cotisations.
entite_13,rente viagère,entite_6,impôt sur le revenu,imposable dans les conditions de droit commun,La rente viagère est imposable dans les conditions de droit commun.
entite_1,les frais inhérents à la fonction ou à l'emploi,entite_2,les sommes brutes énumérées à l’article 56,lié à,Les frais inhérents à la fonction ou à l'emploi sont déductibles des sommes brutes énumérées à l’article 56.
entite_2,les sommes brutes énumérées à l’article 56,entite_3,exonérées en vertu des dispositions de l’article 57,exclusion faite de,Les sommes brutes énumérées à l’article 56 excluent celles exonérées en vertu des dispositions de l’article 57.
entite_4,35% pour les personnes ne relevant pas des catégories professionnelles visées aux B et C,entite_5,revenu brut annuel imposable n’excède pas soixante dix huit mille (78 000) dirhams,calculé à partir de,Le taux de 35% s'applique aux personnes dont le revenu brut annuel imposable n’excède pas 78 000 dirhams.
entite_6,25% pour les personnes dont le revenu brut annuel imposable est supérieur à soixante dix huit mille (78 000) dirhams,entite_7,sans que cette déduction puisse excéder trente -cinq mille (35 000) dirhams,conditionné par,Le taux de 25% est applicable avec une déduction maximale de 35 000 dirhams.
entite_8,les personnes relevant des catégories professionnelles,entite_9,taux désignés ci-après,associé à,Les personnes relevant des catégories professionnelles sont associées à des taux désignés.
entite_10,40% pour le personnel navigant de la marine marchande et de la pêche maritime,entite_11,le revenu brut au lequel s'appliquent les pourcentages,calculé à partir de,Le taux de 40% est calculé à partir du revenu brut applicable.
entite_12,retenues supportées pour la constitution de pensions ou de retraites,entite_13,régime des pensions civiles institué par la loi n° 11 - 71,applicable sur,Les retenues sont applicables sur le régime des pensions civiles.
entite_14,cotisations aux organismes marocains de prévoyance sociale,entite_15,cotisations salariales de sécurité sociale,associé à,Les cotisations aux organismes marocains de prévoyance sociale sont associées aux cotisations salariales de sécurité sociale.
entite_16,part salariale des primes d'assurance-groupe,entite_17,"risques de maladie, maternité, invalidité et décès",couvre,"La part salariale des primes d'assurance-groupe couvre les risques de maladie, maternité, invalidité et décès."
entite_18,remboursements en principal et intérêts des prêts contractés,entite_19,coût d’acquisition et la rémunération convenue d’avance dans le cadre du contrat « Mourabaha »,lié à,Les remboursements en principal et intérêts sont liés au coût d’acquisition dans le cadre du contrat Mourabaha.
entite_20,déduction prévue par le présent paragraphe,entite_21,condition que les montants des remboursements soient retenus et versés mensuellement,conditionné par,La déduction est conditionnée par le versement mensuel des montants des remboursements.
entite_1,revenu net imposable en matière de pensions et rentes viagères,entite_2,abattement forfaitaire de 70%,applicable sur,L'abattement forfaitaire de 70% est appliqué sur le montant brut imposable des pensions et rentes viagères.
entite_2,abattement forfaitaire de 70%,entite_3,montant brut qui ne dépasse pas annuellement 168 000 dirhams,conditionné par,L'abattement de 70% s'applique si le montant brut ne dépasse pas 168 000 dirhams.
entite_1,revenu net imposable en matière de pensions et rentes viagères,entite_4,abattement forfaitaire de 40%,applicable sur,Un abattement forfaitaire de 40% est appliqué sur le surplus au-delà de 168 000 dirhams.
entite_5,cachets octroyés aux artistes,entite_6,retenue à la source au taux prévu à l’article 73 -II-G-4°,soumis à,Le montant brut des cachets octroyés aux artistes est soumis à la retenue à la source.
entite_5,cachets octroyés aux artistes,entite_7,abattement forfaitaire de 50%,applicable sur,Un abattement forfaitaire de 50% est appliqué sur le montant brut des cachets.
entite_8,revenus salariaux versés aux sportifs professionnels,entite_9,abattement forfaitaire de 50%,applicable sur,Un abattement forfaitaire de 50% est appliqué sur le montant brut imposable des salaires versés aux sportifs professionnels.
entite_8,revenus salariaux versés aux sportifs professionnels,entite_10,impôt sur le revenu,soumis à,Les revenus salariaux versés aux sportifs professionnels sont soumis à l'impôt sur le revenu.
entite_11,"éducateurs, entraineurs et équipe technique",entite_12,contrat sportif professionnel,conditionné par,"Pour bénéficier de l'abattement, les éducateurs, entraineurs et l'équipe technique doivent avoir un contrat sportif professionnel."
entite_11,"éducateurs, entraineurs et équipe technique",entite_13,licence délivrée par les fédérations sportives,conditionné par,Ils doivent également être titulaires d'une licence délivrée par les fédérations sportives.
impot_revenu,l'impôt sur le revenu,revenus_fonciers,revenus fonciers,applicable sur,L'impôt sur le revenu est applicable sur les revenus fonciers.
revenus_fonciers,revenus fonciers,immeubles_batis_non_batis,immeubles bâtis et non bâtis,comprend,Les revenus fonciers comprennent les revenus provenant de la location d'immeubles bâtis et non bâtis.
revenus_fonciers,revenus fonciers,proprietes_agricoles,propriétés agricoles,comprend,Les revenus fonciers comprennent les revenus provenant de la location de propriétés agricoles.
revenus_fonciers,revenus fonciers,valeur_locative,valeur locative des immeubles,comprend,Les revenus fonciers comprennent la valeur locative des immeubles mis gratuitement à disposition.
revenus_fonciers,revenus fonciers,indemnites_evict,indemnités d’éviction,comprend,Les revenus fonciers comprennent les indemnités d’éviction versées aux occupants des biens immeubles.
revenus_fonciers,revenus fonciers,produits_OPCI,produits provenant des bénéfices distribués par les OPCI,comprend,Les revenus fonciers comprennent les produits provenant des bénéfices distribués par les organismes de placement collectif immobilier.
impot_revenu,l'impôt sur le revenu,profits_fonciers,profits fonciers,applicable sur,L'impôt sur le revenu est applicable sur les profits fonciers.
profits_fonciers,profits fonciers,vente_immeubles,vente d'immeubles,comprend,Les profits fonciers comprennent les profits réalisés à l'occasion de la vente d'immeubles.
profits_fonciers,profits fonciers,expropriation_utilite_publique,expropriation d'immeuble pour cause d’utilité publique,comprend,Les profits fonciers comprennent les profits réalisés lors de l'expropriation d'immeubles pour cause d’utilité publique.
profits_fonciers,profits fonciers,transfert_propriete,transfert de propriété d'immeubles,comprend,Les profits fonciers comprennent les profits réalisés lors du transfert de propriété d'immeubles.
profits_fonciers,profits fonciers,apport_en_societe,apport en société d'immeubles,comprend,Les profits fonciers comprennent les profits réalisés lors de l'apport en société d'immeubles.
profits_fonciers,profits fonciers,cession_titre_onereux,cession à titre onéreux,comprend,Les profits fonciers comprennent les profits réalisés lors de la cession à titre onéreux de parts sociales.
profits_fonciers,profits fonciers,partage_immeuble,partage d'immeuble en indivision,comprend,Les profits fonciers comprennent les profits réalisés lors du partage d'immeuble en indivision.
profits_fonciers,profits fonciers,cession_gratuite,cessions à titre gratuit,comprend,Les profits fonciers comprennent les profits réalisés lors de cessions à titre gratuit.
profits_fonciers,profits fonciers,transfert_patrimoine,transfert d’immeubles du patrimoine privé,comprend,Les profits fonciers comprennent les profits réalisés lors du transfert d’immeubles du patrimoine privé à l’actif de l’entreprise.
impot,l'impôt,valeur_locative,la valeur locative des immeubles,exclusion,La valeur locative des immeubles est exclue du champ d'application de l'impôt.
proprietaires,les propriétaires,ascendants_descendants,leurs ascendants et descendants,mise_a_disposition,Les propriétaires mettent gratuitement à disposition des ascendants et descendants.
proprietaires,les propriétaires,administrations_et_collectivites,des administrations de l'Etat et des collectivités locales,mise_a_disposition,Les propriétaires mettent gratuitement à disposition des administrations de l'Etat et des collectivités locales.
proprietaires,les propriétaires,hopitaux_publics,des hôpitaux publics,mise_a_disposition,Les propriétaires mettent gratuitement à disposition des hôpitaux publics.
proprietaires,les propriétaires,oeuvres_privees,des œuvres privées d'assistance et de bienfaisance,mise_a_disposition,Les propriétaires mettent gratuitement à disposition des œuvres privées d'assistance et de bienfaisance.
oeuvres_privees,des œuvres privées d'assistance et de bienfaisance,controle_etat,soumis au contrôle de l'Etat,soumission,Les œuvres privées d'assistance et de bienfaisance sont soumises au contrôle de l'Etat.
proprietaires,les propriétaires,associations_utilite_publique,des associations reconnues d'utilité publique,mise_a_disposition,Les propriétaires mettent gratuitement à disposition des associations reconnues d'utilité publique.
profits_immobiliers,les profits immobiliers,personnes_physiques_morales,les personnes physiques ou les personnes morales,non_assujettissement,Les profits immobiliers réalisés par les personnes physiques ou morales ne sont pas assujettis à l'impôt.
profits_immobiliers,les profits immobiliers,impot_sur_societes,ne relevant pas de l'impôt sur les sociétés,non_assujettissement,Les profits immobiliers réalisés par des entités ne relevant pas de l'impôt sur les sociétés ne sont pas assujettis.
profits_fonciers,les profits fonciers,impot_sur_revenu,l'impôt sur le revenu,non_assujettissement,Les profits fonciers ne sont pas assujettis à l'impôt sur le revenu.
annulation_cession,l’annulation d’une cession,decision_judiciaire,suite à une décision judiciaire,non_assujettissement,L'annulation d'une cession effectuée suite à une décision judiciaire n'est pas assujettie à l'impôt.
resiliation_cession,la résiliation à l’amiable d’une cession,delai_24_heures,dans les vingt quatre (24) heures,non_assujettissement,La résiliation à l'amiable d'une cession dans les 24 heures n'est pas assujettie à l'impôt.
retrait_remere,le retrait de réméré,delai_3_ans,dans un délai n’excédant pas trois (3) ans,non_assujettissement,Le retrait de réméré exercé dans un délai de 3 ans n'est pas assujetti à l'impôt.
transfert_immeubles,le transfert d’immeubles,prix_acquisition,à leur prix d’acquisition d’origine,non_assujettissement,Le transfert d'immeubles à leur prix d'acquisition d'origine n'est pas assujetti à l'impôt.
personne_physique,une personne physique,entreprise_impot_revenu,son entreprise soumise à l’impôt sur le revenu,transfert,Le transfert d'immeubles du patrimoine privé d'une personne physique à son entreprise soumise à l'impôt sur le revenu.
exoneration_impt,Sont exonérés de l'impôt,profit_cession_immeubles,le profit réalisé par toute personne qui effectue dans l'année civile des cessions d'immeubles dont la valeur totale n'excède pas cent quarante mille (140.000) dirhams,applicable sur,L'exonération s'applique au profit réalisé sur la cession d'immeubles dont la valeur ne dépasse pas 140.000 dirhams.
exoneration_impt,Sont exonérés de l'impôt,profit_cession_habitation_principale,le profit réalisé sur la cession d'un immeuble ou partie d'immeuble destiné à son habitation principale depuis au moins cinq (5) ans,applicable sur,L'exonération s'applique au profit réalisé sur la cession d'un immeuble destiné à l'habitation principale depuis au moins 5 ans.
habitation_principale,Est considérée comme habitation principale,unique_logement,l’unique logement dont dispose la personne concernée,definit par,L'unique logement est défini comme habitation principale.
habitation_principale,Est considérée comme habitation principale,logement_residents_etranger,le logement que les marocains résidents à l’étranger conservent au titre de leur habitation au Maroc,definit par,Le logement des marocains résidents à l'étranger est considéré comme habitation principale.
exoneration_impt,Sont exonérés de l'impôt,cession_ijara_mountahia,Cette exonération est également accordée au contribuable ayant cédé un immeuble ou partie d’immeuble acquis par voie de « Ijara Mountahia Bitamlik »,applicable sur,L'exonération s'applique également aux cessions d'immeubles acquis par Ijara Mountahia Bitamlik.
cession_terres_agricoles,le profit réalisé sur la cession de droits indivis d'immeubles agricoles,coheritier,entre cohéritiers,effectue entre,La cession de droits indivis d'immeubles agricoles est effectuée entre cohéritiers.
cession_logement_social,le profit réalisé à l'occasion de la cession du logement social,habitation_principale,destiné par son propriétaire à son habitation principale depuis au moins quatre (4) ans,conditionne par,La cession du logement social est conditionnée par son utilisation comme habitation principale depuis au moins 4 ans.
cession_gratuite,Les cessions à titre gratuit portant sur,biens_ascendants_descendants,les biens précités effectuées entre ascendants et descendants,inclut,Les cessions à titre gratuit incluent celles entre ascendants et descendants.
cession_gratuite,Les cessions à titre gratuit portant sur,biens_associations_utilite_publique,les biens précités revenant aux associations reconnues d’utilité publique,inclut,Les cessions à titre gratuit incluent celles revenant aux associations d'utilité publique.
article_64,Article 64. - Détermination du revenu foncier imposable,article_65,dispositions de l'article 65 ci-après,lié à,L'article 64 est soumis aux dispositions de l'article 65.
revenu_foncier_brut,le revenu foncier brut des immeubles donnés en location,loyers,montant brut total des loyers,calculé à partir de,Le revenu foncier brut est constitué par le montant brut total des loyers.
revenu_foncier_brut,le revenu foncier brut,charges_supportées,charges supportées par le propriétaire,diminué par,Le revenu foncier brut est diminué des charges supportées par le propriétaire.
revenu_net_imposable,Le revenu net imposable,abattement_40%,un abattement de 40%,calculé à partir de,Le revenu net imposable est obtenu en appliquant un abattement de 40% sur le revenu foncier brut.
revenu_brut_imposable,Le revenu brut imposable des propriétés,montant_brut_loyer,montant brut du loyer ou du fermage stipulé en argent,constitué par,Le revenu brut imposable est constitué du montant brut du loyer ou du fermage.
revenu_brut_imposable,Le revenu brut imposable des propriétés,revenu_agricole_forfaitaire,fraction du revenu agricole forfaitaire prévu à l'article 49,constitué par,Le revenu brut imposable est constitué de la fraction du revenu agricole forfaitaire.
retenue_a_la_source,retenue à la source prévue à l’article 160 bis,option_imposition,imposition desdits revenus selon le taux libératoire,applicable sur,Les revenus fonciers soumis à la retenue à la source peuvent opter pour l'imposition selon le taux libératoire.
demande_option,"une demande doit être souscrite, par procédé électronique",administration_fiscale,auprès de l’administration fiscale,adressée à,La demande d'option doit être adressée à l'administration fiscale.
delai_remise,au moins trente (30) jours avant la date de l’échéance,versement_loyer,date de l’échéance du versement du loyer,conditionné par,La remise de la copie du récépissé doit se faire au moins 30 jours avant l'échéance du versement du loyer.
fin_option,mettre fin à l’option pour l’imposition selon le taux libératoire,demande_fin_option,"souscrire une demande, par procédé électronique",nécessite,"Pour mettre fin à l'option, une demande doit être souscrite."
delai_remise_fin_option,au moins quinze (15) jours avant la date de l’échéance,versement_loyer_fin_option,date de l’échéance du versement du loyer,conditionné par,La remise de la copie du récépissé pour mettre fin à l'option doit se faire au moins 15 jours avant l'échéance du versement du loyer.
entite_1,profit net imposable,entite_2,prix de cession,calculé à partir de,Le profit net imposable est égal à la différence entre le prix de cession diminué des frais de cession et le prix d’acquisition augmenté des frais d’acquisition.
entite_2,prix de cession,entite_3,frais de cession,diminué de,"Le prix de cession est diminué, le cas échéant, des frais de cession."
entite_4,prix d'acquisition,entite_5,frais d'acquisition,augmenté de,Le prix d'acquisition est augmenté des frais d'acquisition.
entite_5,frais d'acquisition,entite_6,dépenses d'investissements,inclut,"Le prix d'acquisition est augmenté des frais d'acquisition, des dépenses d'investissements réalisés."
entite_6,dépenses d'investissements,entite_7,intérêts ou rémunération,inclut,"Le prix d'acquisition est augmenté des dépenses d'investissements réalisés, ainsi que des intérêts ou de la rémunération convenue d’avance."
entite_8,prix d'acquisition,entite_9,coefficient,réévalué par,Le prix d'acquisition est réévalué en multipliant ce prix par le coefficient correspondant à l'année d'acquisition.
entite_10,prix d'acquisition,entite_11,valeur vénale,déterminé par,"En cas de cession d'immeubles acquis par héritage, le prix d'acquisition est soit la valeur vénale des immeubles au jour du décès."
entite_12,prix d'acquisition,entite_13,prix de cession,déterminé par,"En cas de cession, à titre gratuit, le prix de cession ou d'acquisition à considérer est la valeur déclarée dans l'acte."
entite_14,base d’imposition,entite_15,prix de cession,déterminé par,"En cas de taxation d’office, la base d’imposition est déterminée sur la base des informations et des données dont dispose l’administration."
entite_1,revenus de capitaux mobiliers,entite_2,"produits des actions, parts sociales et revenus assimilés",définit,Les revenus de capitaux mobiliers incluent les produits des actions et parts sociales.
entite_1,revenus de capitaux mobiliers,entite_3,revenus de placements à revenu fixe et revenus des certificats de Sukuk,définit,Les revenus de capitaux mobiliers incluent également les revenus de placements à revenu fixe et des certificats de Sukuk.
entite_2,"produits des actions, parts sociales et revenus assimilés",entite_4,organismes de placement collectif immobilier (OPCI),exclut,Les produits provenant des bénéfices distribués par les OPCI sont exclus des revenus de capitaux mobiliers.
entite_5,profits de capitaux mobiliers,entite_6,profits nets annuels réalisés par les personnes physiques sur les cessions de valeurs mobilières,définit,Les profits de capitaux mobiliers incluent les profits nets annuels réalisés sur les cessions de valeurs mobilières.
entite_6,profits nets annuels réalisés par les personnes physiques sur les cessions de valeurs mobilières,entite_7,organismes de placement collectif en valeurs mobilières (O.P.C.V.M.),inclut,Les cessions de valeurs mobilières incluent celles émises par les O.P.C.V.M.
entite_6,profits nets annuels réalisés par les personnes physiques sur les cessions de valeurs mobilières,entite_8,fonds de placement collectif en titrisation (F.P.C.T.),inclut,Les cessions de valeurs mobilières incluent celles émises par les F.P.C.T.
entite_6,profits nets annuels réalisés par les personnes physiques sur les cessions de valeurs mobilières,entite_9,organismes de placement collectif en capital (O.P.C.C.),inclut,Les cessions de valeurs mobilières incluent celles émises par les O.P.C.C.
entite_6,profits nets annuels réalisés par les personnes physiques sur les cessions de valeurs mobilières,entite_4,organismes de placement collectif immobilier (OPCI),exclut,Les cessions de valeurs mobilières excluent celles des OPCI.
entite_10,profit net réalisé entre la date de l’ouverture d’un plan d’épargne en actions,entite_11,"date du rachat, du retrait des titres ou de liquidités",calculé à partir de,Le profit net est calculé entre l'ouverture d'un plan d'épargne et la date de rachat ou retrait.
entite_10,profit net réalisé,entite_12,valeur liquidative du plan ou valeur du rachat,calculé à partir de,Le profit net est la différence entre la valeur liquidative ou de rachat et les versements effectués.
entite_1,"produits des actions, parts sociales et revenus assimilés",entite_2,fait générateur de l’impôt,lié à,"Les produits des actions, parts sociales et revenus assimilés sont liés au fait générateur de l’impôt."
entite_2,fait générateur de l’impôt,entite_3,"versement, mise à la disposition ou inscription en compte du bénéficiaire",défini par,"Le fait générateur de l’impôt est défini par le versement, la mise à la disposition ou l’inscription en compte du bénéficiaire."
entite_4,profits de cession de valeurs mobilières et autres titres de capital et de créance,entite_2,fait générateur de l’impôt,lié à,Les profits de cession de valeurs mobilières et autres titres de capital et de créance sont liés au fait générateur de l’impôt.
entite_2,fait générateur de l’impôt,entite_5,cession à titre onéreux ou gratuit,défini par,Le fait générateur de l’impôt est défini par la cession à titre onéreux ou gratuit.
entite_2,fait générateur de l’impôt,entite_6,"échange, considéré comme une double vente de valeurs mobilières et autres titres de capital et de créance",défini par,"Le fait générateur de l’impôt est défini par l'échange, considéré comme une double vente."
entite_2,fait générateur de l’impôt,entite_7,apport en société des valeurs mobilières et autres titres de capital et de créance,défini par,Le fait générateur de l’impôt est défini par l'apport en société.
entite_2,fait générateur de l’impôt,entite_8,rachat ou retrait de titres ou de liquidités ou la clôture d’un plan d’épargne en actions ou d’un plan d’épargne entreprise,défini par,Le fait générateur de l’impôt est défini par le rachat ou le retrait de titres ou de liquidités.
entite_8,rachat ou retrait de titres ou de liquidités ou la clôture d’un plan d’épargne en actions ou d’un plan d’épargne entreprise,entite_9,avant la durée prévue à l’article 68 (VII ou VIII),conditionné par,Le rachat ou retrait est conditionné par la durée prévue à l’article 68.
entite_1,l’impôt,entite_2,"la donation entre ascendants et descendants et entre époux, frères et sœurs",exonération,"La donation entre ascendants et descendants et entre époux, frères et sœurs est exonérée de l’impôt."
entite_1,l’impôt,entite_3,le profit ou la fraction du profit afférent à la partie de la valeur ou des valeurs des cessions de valeurs mobilières,exonération,Le profit ou la fraction du profit afférent à la partie de la valeur ou des valeurs des cessions de valeurs mobilières est exonéré de l’impôt si les cessions n’excèdent pas 30 000 dirhams.
entite_1,l’impôt,entite_4,les dividendes et autres produits de participation similaires de source étrangère,exonération,Les dividendes et autres produits de participation similaires de source étrangère versés par certaines sociétés sont exonérés de l’impôt.
entite_1,l’impôt,entite_5,les intérêts perçus par les personnes physiques titulaires de comptes d’épargne,exonération,Les intérêts perçus par les personnes physiques titulaires de comptes d’épargne auprès de la caisse d’épargne nationale sont exonérés de l’impôt.
entite_1,l’impôt,entite_6,les intérêts servis au titulaire d’un plan d’épargne logement,exonération,Les intérêts servis au titulaire d’un plan d’épargne logement sont exonérés sous certaines conditions.
entite_1,l’impôt,entite_7,les intérêts servis au titulaire d’un plan d’épargne éducation,exonération,Les intérêts servis au titulaire d’un plan d’épargne éducation sont exonérés sous certaines conditions.
entite_1,l’impôt,entite_8,les revenus et profits de capitaux mobiliers réalisés dans le cadre d’un plan d’épargne en actions,exonération,Les revenus et profits de capitaux mobiliers réalisés dans le cadre d’un plan d’épargne en actions sont exonérés sous certaines conditions.
entite_1,l’impôt,entite_9,les revenus et profits de capitaux mobiliers réalisés dans le cadre d’un plan d’épargne entreprise,exonération,Les revenus et profits de capitaux mobiliers réalisés dans le cadre d’un plan d’épargne entreprise sont exonérés sous certaines conditions.
entite_6,les intérêts servis au titulaire d’un plan d’épargne logement,entite_10,les sommes investies dans ledit plan,condition,Les sommes investies dans le plan d’épargne logement doivent être destinées à l’acquisition ou la construction d’un logement à usage d’habitation principale.
entite_6,les intérêts servis au titulaire d’un plan d’épargne logement,entite_11,le montant des versements et des intérêts,condition,Le montant des versements et des intérêts doit être conservé dans le plan pour au moins trois ans.
entite_6,les intérêts servis au titulaire d’un plan d’épargne logement,entite_12,le montant des versements effectués par le contribuable,condition,Le montant des versements effectués par le contribuable dans le plan ne doit pas dépasser 400 000 dirhams.
entite_7,les intérêts servis au titulaire d’un plan d’épargne éducation,entite_13,les sommes investies dans ledit plan,condition,Les sommes investies dans le plan d’épargne éducation doivent être destinées au financement des études des enfants à charge.
entite_7,les intérêts servis au titulaire d’un plan d’épargne éducation,entite_14,le montant des versements et des intérêts,condition,Le montant des versements et des intérêts doit être conservé dans le plan pour au moins cinq ans.
entite_7,les intérêts servis au titulaire d’un plan d’épargne éducation,entite_15,le montant des versements effectués par le contribuable,condition,Le montant des versements effectués par le contribuable dans le plan ne doit pas dépasser 300 000 dirhams par enfant.
entite_8,les revenus et profits de capitaux mobiliers réalisés dans le cadre d’un plan d’épargne en actions,entite_16,les versements et les produits capitalisés,condition,Les versements et les produits capitalisés doivent être conservés dans le plan pendant au moins cinq ans.
entite_8,les revenus et profits de capitaux mobiliers réalisés dans le cadre d’un plan d’épargne en actions,entite_17,le montant des versements effectués par le contribuable,condition,Le montant des versements effectués par le contribuable dans le plan ne doit pas dépasser 2 000 000 dirhams.
entite_9,les revenus et profits de capitaux mobiliers réalisés dans le cadre d’un plan d’épargne entreprise,entite_18,les versements et les produits capitalisés,condition,Les versements et les produits capitalisés doivent être conservés dans le plan pendant au moins cinq ans.
entite_9,les revenus et profits de capitaux mobiliers réalisés dans le cadre d’un plan d’épargne entreprise,entite_19,le montant des versements effectués,condition,Le montant des versements effectués dans le plan ne doit pas dépasser 2 000 000 dirhams.
